passer_player_id,passer_player_name,dropbacks,dropbacks_latest,epa_per_db,cpoe,sack_rate,teams,primary_team,epa_shrunk,value_pts,league_epa_per_db
00-0026498,M.Stafford,1053.0,741,0.1535,0.0033,0.0469,LA,LA,0.1145,4.1207,0.0
00-0039918,C.Williams,1004.0,686,0.0009,-2.2101,0.0703,CHI,CHI,-0.0093,-0.3338,0.0
00-0039732,B.Nix,991.5,684,0.0492,-0.5754,0.037,DEN,DEN,0.0292,1.0524,0.0
00-0034869,S.Darnold,920.5,599,0.0863,3.9299,0.0725,"MIN,SEA",SEA,0.0572,2.0581,0.0
00-0033106,J.Goff,917.5,614,0.1757,3.3763,0.0581,DET,DET,0.1274,4.5847,0.0
00-0034855,B.Mayfield,899.5,584,0.0411,1.133,0.0634,TB,TB,0.0213,0.7658,0.0
00-0033873,P.Mahomes,894.5,537,0.0851,1.4598,0.0647,KC,KC,0.0556,2.0011,0.0
00-0036355,J.Herbert,893.5,603,-0.0003,0.9422,0.0887,LAC,LAC,-0.0112,-0.4027,0.0
00-0034857,J.Allen,877.0,584,0.1533,2.9635,0.0538,BUF,BUF,0.1082,3.8946,0.0
00-0023459,A.Rodgers,876.5,563,-0.0235,-1.5482,0.0613,"NYJ,PIT",PIT,-0.0294,-1.0583,0.0
00-0039851,D.Maye,869.0,682,0.0996,6.1692,0.0966,NE,NE,0.0662,2.3815,0.0
00-0039163,C.Stroud,858.5,531,-0.0095,-1.4096,0.0776,HOU,HOU,-0.0187,-0.6717,0.0
00-0030565,G.Smith,817.5,503,-0.1086,3.4898,0.0928,"LV,SEA",LV,-0.0949,-3.4152,0.0
00-0033077,D.Prescott,784.5,631,0.1079,1.2195,0.0554,DAL,DAL,0.0697,2.5108,0.0
00-0036971,T.Lawrence,783.5,631,0.0239,-1.7006,0.0641,JAX,JAX,0.006,0.2167,0.0
00-0036389,J.Hurts,773.5,522,0.0517,4.9247,0.082,PHI,PHI,0.0269,0.9676,0.0
00-0039150,B.Young,755.0,548,-0.0873,0.5508,0.0603,CAR,CAR,-0.078,-2.8097,0.0
00-0036264,J.Love,746.5,508,0.179,2.7377,0.0386,GB,GB,0.1215,4.3754,0.0
00-0036442,J.Burrow,628.5,278,0.1162,6.1831,0.0664,CIN,CIN,0.0689,2.4818,0.0
00-0036212,T.Tagovailoa,625.5,415,0.0594,2.9227,0.061,MIA,MIA,0.0282,1.015,0.0
00-0033119,J.Brissett,619.5,530,-0.0649,0.5076,0.086,"ARI,NE",ARI,-0.0606,-2.181,0.0
00-0034796,L.Jackson,610.0,338,0.1508,3.8598,0.0703,BAL,BAL,0.0925,3.3283,0.0
00-0037834,B.Purdy,600.0,359,0.1268,3.5628,0.0535,SF,SF,0.0748,2.6927,0.0
00-0035710,D.Jones,594.5,409,0.0471,1.9112,0.0654,"IND,NYG",IND,0.0183,0.6597,0.0
00-0040676,C.Ward,592.0,592,-0.2122,-2.9297,0.0929,TEN,TEN,-0.164,-5.9044,0.0
00-0026158,J.Flacco,565.5,432,-0.1012,-1.3235,0.0515,"CIN,CLE,IND",CIN,-0.0855,-3.0787,0.0
00-0039910,J.Daniels,529.0,205,0.0435,1.8761,0.0809,WAS,WAS,0.0135,0.4861,0.0
00-0029604,K.Cousins,520.0,281,-0.0158,-0.4261,0.054,ATL,ATL,-0.0269,-0.9688,0.0
00-0035228,K.Murray,462.0,177,0.0483,1.505,0.0616,ARI,ARI,0.0138,0.4969,0.0
00-0036972,M.Jones,447.5,308,0.0597,1.5539,0.0511,"JAX,SF",SF,0.0204,0.7328,0.0
00-0039376,S.Rattler,397.0,272,-0.1798,-2.9538,0.0766,NO,NO,-0.1297,-4.6681,0.0
00-0040691,J.Dart,375.0,375,-0.0173,-0.1931,0.0933,NYG,NYG,-0.0304,-1.0932,0.0
