team,prior,games,perf_sum,rating,change
SEA,7.845,2,40.715,10.12,2.275
LA,7.576,2,10.523,7.155,-0.421
SF,1.85,2,54.904,6.505,4.655
BUF,4.631,2,27.279,6.269,1.638
NE,4.736,2,16.303,5.357,0.621
JAX,3.995,2,15.203,4.65,0.656
KC,0.944,2,31.711,3.656,2.711
BAL,0.828,2,27.494,3.177,2.349
CHI,1.716,2,11.154,2.418,0.702
HOU,4.57,2,-20.074,1.914,-2.656
DET,2.702,2,-6.91,1.583,-1.119
MIN,-0.537,2,21.323,1.499,2.036
DEN,2.525,2,-12.115,0.964,-1.56
PHI,2.085,2,-10.839,0.721,-1.364
GB,2.365,2,-20.631,0.059,-2.306
CAR,-2.399,2,19.576,-0.183,2.216
CIN,-3.208,2,24.2,-0.425,2.783
IND,2.64,2,-29.748,-0.544,-3.184
NO,-2.294,2,11.762,-0.808,1.486
PIT,-0.754,2,-11.387,-1.652,-0.898
ARI,-2.632,2,2.141,-1.958,0.673
DAL,-2.301,2,-1.696,-2.037,0.264
TB,-0.322,2,-28.131,-2.821,-2.499
LAC,0.616,2,-43.048,-3.409,-4.025
NYG,-1.782,2,-27.384,-3.947,-2.165
WAS,-3.657,2,-11.061,-3.997,-0.341
LV,-7.348,2,18.134,-4.364,2.985
ATL,-0.91,2,-43.002,-4.654,-3.744
CLE,-4.995,2,-16.642,-5.6,-0.605
NYJ,-9.07,2,16.057,-5.961,3.109
MIA,-3.671,2,-39.046,-6.553,-2.882
TEN,-5.745,2,-26.766,-7.134,-1.389
