team,primary_qb_2025,primary_share,fielded_qb_value,primary_qb_value
ARI,J.Brissett,0.746,-1.512,-2.181
ATL,M.Penix,0.508,-0.79,-0.617
BAL,L.Jackson,0.725,1.647,3.328
BUF,J.Allen,0.94,3.781,3.895
CAR,B.Young,0.924,-2.829,-2.81
CHI,C.Williams,0.991,-0.344,-0.334
CIN,J.Burrow,0.411,-1.197,2.482
CLE,S.Sanders,0.386,-4.768,-5.808
DAL,D.Prescott,0.963,2.386,2.511
DEN,B.Nix,0.95,0.821,1.052
DET,J.Goff,0.992,4.533,4.585
GB,J.Love,0.898,3.928,4.375
HOU,C.Stroud,0.759,-1.249,-0.672
IND,D.Jones,0.705,-0.317,0.66
JAX,T.Lawrence,0.995,0.211,0.217
KC,P.Mahomes,0.851,1.031,2.001
LA,M.Stafford,1.0,4.121,4.121
LAC,J.Herbert,0.911,-0.924,-0.403
LV,G.Smith,0.87,-3.482,-3.415
MIA,T.Tagovailoa,0.801,0.433,1.015
MIN,J.McCarthy,0.499,-4.155,-5.1
NE,D.Maye,0.983,2.315,2.381
NO,T.Shough,0.561,-2.685,-1.181
NYG,J.Dart,0.651,-1.391,-1.093
NYJ,J.Fields,0.419,-3.92,-2.557
PHI,J.Hurts,0.919,0.8,0.968
PIT,A.Rodgers,0.911,-1.082,-1.058
SEA,S.Darnold,0.993,2.021,2.058
SF,B.Purdy,0.537,1.777,2.693
TB,B.Mayfield,0.972,0.647,0.766
TEN,C.Ward,0.95,-5.877,-5.904
WAS,M.Mariota,0.484,-0.355,-0.86
