team,off_pass_epa,def_pass_epa,off_rush_epa,def_rush_epa,off_epa_raw,off_success,def_epa_raw,off_epa_adj,def_epa_adj,off_pts,def_pts,epa_rating,margin_rating,rating_raw,rating_regressed,pass_share
SEA,0.1254,0.174,-0.0017,0.1635,0.0448,0.4599,0.1228,0.075,0.1698,4.7226,10.6994,15.422,13.3339,14.7956,7.8447,0.5232
LA,0.2008,0.0732,0.1141,0.0474,0.1445,0.5071,0.0467,0.1664,0.0629,10.4854,3.9655,14.4509,10.2622,13.1942,7.5763,0.5952
NE,0.1336,0.112,-0.0333,0.0441,0.0903,0.4621,0.0909,0.0674,0.085,4.2441,5.3558,9.5999,6.6341,8.7102,4.7361,0.6073
BUF,0.1566,0.0488,0.131,-0.097,0.1376,0.4863,0.011,0.1464,-0.0091,9.2249,-0.5707,8.6542,4.9621,7.5466,4.6306,0.5636
HOU,-0.0082,0.2299,-0.0461,0.1234,-0.0308,0.412,0.1607,-0.0232,0.1876,-1.4646,11.8195,10.355,7.4794,9.4923,4.5698,0.6053
JAX,0.0549,0.1229,0.008,0.025,0.0313,0.4477,0.0862,0.0363,0.0841,2.2853,5.2962,7.5815,7.4137,7.5312,3.9946,0.602
DET,0.123,0.0401,-0.0163,-0.0163,0.0822,0.4529,0.0099,0.0677,0.0177,4.2667,1.1177,5.3844,2.8782,4.6325,2.7022,0.5937
IND,0.0567,-0.0342,0.1264,0.027,0.0721,0.4629,-0.0043,0.0843,-0.0099,5.314,-0.6239,4.6901,3.2926,4.2708,2.6399,0.5984
DEN,0.0318,0.1161,-0.021,0.0279,0.0314,0.4339,0.0793,0.0108,0.0811,0.6828,5.1091,5.792,3.1,4.9844,2.5245,0.6334
GB,0.2215,-0.0749,-0.0469,0.0096,0.1216,0.4751,-0.0391,0.115,-0.0414,7.2434,-2.6063,4.637,0.5884,3.4224,2.365,0.5663
PHI,-0.0107,0.1384,-0.0221,0.051,0.0213,0.4311,0.07,-0.0152,0.1037,-0.9597,6.5344,5.5748,1.8552,4.4589,2.0852,0.5736
