team,plays,off_epa,def_epa,off_pass,off_rush,def_pass,def_rush,opp,home,net_epa_pts,margin,prior,opp_prior,perf,perf_adj
ARI,69,0.144,0.244,0.289,-0.044,0.191,0.36,LAC,False,24.45,12.0,-2.632,0.616,20.715,22.831
ATL,57,-0.321,0.303,-0.606,-0.082,0.324,0.252,PIT,False,-1.148,-7.0,-0.91,-0.754,-2.904,-2.158
BAL,60,0.321,0.241,0.459,0.192,0.441,-0.116,IND,False,35.451,18.0,0.828,2.64,30.216,34.356
BUF,52,0.229,-0.069,0.513,-0.263,-0.097,-0.03,HOU,False,10.102,5.0,4.631,4.57,8.571,14.641
CAR,62,0.182,-0.409,0.312,-0.113,-0.538,-0.257,CHI,True,-14.354,-22.0,-2.399,1.716,-16.648,-16.432
CHI,70,0.409,-0.182,0.538,0.257,-0.312,0.113,CAR,False,14.354,22.0,1.716,-2.399,16.648,15.749
CIN,62,-0.002,0.185,-0.036,0.05,0.292,-0.072,TB,True,11.57,6.0,-3.208,-0.322,9.899,8.077
CLE,49,-0.184,-0.338,-0.225,-0.119,-0.731,0.012,JAX,False,-32.914,-24.0,-4.995,3.995,-30.24,-24.745
DAL,52,0.221,-0.369,0.314,0.01,-0.667,-0.061,NYG,False,-9.337,-8.0,-2.301,-1.782,-8.936,-9.218
DEN,46,-0.344,-0.164,-0.443,-0.092,-0.026,-0.311,KC,False,-32.022,-21.0,2.524,0.944,-28.715,-26.271
DET,73,0.0,0.031,0.012,-0.015,0.014,0.075,NO,True,1.958,1.0,2.702,-2.294,1.671,-2.123
GB,67,-0.175,0.02,-0.059,-0.429,-0.075,0.125,MIN,False,-9.779,-17.0,2.365,-0.537,-11.946,-10.983
HOU,73,0.069,-0.229,0.097,0.03,-0.513,0.263,BUF,True,-10.102,-5.0,4.57,4.631,-8.571,-5.441
IND,53,-0.241,-0.321,-0.441,0.116,-0.459,-0.192,BAL,True,-35.451,-18.0,2.64,0.828,-30.216,-30.888
JAX,53,0.338,0.184,0.731,-0.012,0.225,0.119,CLE,True,32.914,24.0,3.995,-4.995,30.24,23.744
KC,64,0.164,0.344,0.026,0.311,0.443,0.092,DEN,True,32.022,21.0,0.944,2.524,28.715,29.74
LA,56,-0.265,-0.179,-0.352,-0.171,-0.208,-0.142,SF,True,-27.935,-20.0,7.576,1.85,-25.554,-25.204
LAC,51,-0.244,-0.144,-0.191,-0.36,-0.289,0.044,ARI,True,-24.45,-12.0,0.616,-2.632,-20.715,-24.847
LV,64,-0.039,0.236,0.007,-0.083,0.206,0.321,MIA,True,12.395,14.0,-7.348,-3.671,12.876,7.705
MIA,50,-0.236,0.039,-0.206,-0.321,-0.007,0.083,LV,False,-12.395,-14.0,-3.671,-7.348,-12.876,-18.725
MIN,59,-0.02,0.175,0.075,-0.125,0.059,0.429,GB,True,9.779,17.0,-0.537,2.365,11.946,12.811
NE,67,-0.11,-0.066,0.065,-0.404,-0.226,0.151,SEA,False,-11.04,-3.0,4.736,7.845,-8.628,0.717
NO,86,-0.031,-0.0,-0.014,-0.075,-0.012,0.015,DET,False,-1.958,-1.0,-2.294,2.702,-1.671,2.531
NYG,65,0.369,-0.221,0.667,0.061,-0.314,-0.01,DAL,True,9.337,8.0,-1.782,-2.301,8.936,5.135
NYJ,60,0.168,0.119,0.35,0.029,0.124,0.096,TEN,False,18.079,13.0,-9.07,-5.745,16.556,12.311
PHI,51,0.071,-0.06,0.166,-0.103,-0.139,0.046,WAS,True,0.701,2.0,2.085,-3.657,1.09,-4.066
PIT,61,-0.303,0.321,-0.324,-0.252,0.606,0.082,ATL,True,1.148,7.0,-0.754,-0.91,2.904,0.494
SEA,47,0.066,0.11,0.226,-0.151,-0.065,0.404,NE,True,11.04,3.0,7.845,4.736,8.628,11.864
SF,64,0.179,0.265,0.208,0.142,0.352,0.171,LA,False,27.935,20.0,1.85,7.576,25.554,34.631
TB,51,-0.185,0.002,-0.292,0.072,0.036,-0.05,CIN,False,-11.57,-6.0,-0.322,-3.208,-9.899,-11.607
TEN,49,-0.119,-0.168,-0.124,-0.096,-0.35,-0.029,NYJ,True,-18.079,-13.0,-5.745,-9.07,-16.556,-27.126
WAS,68,0.06,-0.071,0.139,-0.046,-0.166,0.103,PHI,False,-0.701,-2.0,-3.657,2.085,-1.09,2.495
