game_id,home,away,result,home_won,p_blend,p_model,p_market_spread,p_market_ml,model_margin,market,final
2025_01_DAL_PHI,PHI,DAL,4.0,1,0.822,0.8766,0.7572,0.7768,14.1058,8.5,11.0226
2025_01_KC_LAC,LAC,KC,6.0,1,0.4588,0.5092,0.419,0.3908,-0.0565,-3.0,-1.6754
2025_01_ARI_NO,NO,ARI,-7.0,0,0.3208,0.313,0.3264,0.2998,-6.5138,-6.0,-6.2312
2025_01_CAR_JAX,JAX,CAR,16.0,1,0.6288,0.613,0.6408,0.6447,3.4483,4.5,4.0267
2025_01_CIN_CLE,CLE,CIN,-1.0,0,0.355,0.378,0.343,0.325,-4.1737,-5.5,-4.9031
2025_01_LV_NE,NE,LV,-7.0,0,0.5444,0.4786,0.5882,0.583,-1.0493,2.5,0.9028
2025_01_MIA_IND,IND,MIA,25.0,1,0.5328,0.4966,0.5612,0.5043,-0.4669,1.5,0.6149
2025_01_NYG_WAS,WAS,NYG,15.0,1,0.7404,0.7886,0.6906,0.718,9.4743,6.0,7.5634
2025_01_PIT_NYJ,NYJ,PIT,-2.0,0,0.4474,0.48,0.419,0.417,-1.0484,-3.0,-2.1218
2025_01_TB_ATL,ATL,TB,-3.0,0,0.4528,0.4404,0.4672,0.4892,-2.2564,-1.5,-1.8404
2025_01_SF_SEA,SEA,SF,-4.0,0,0.4726,0.5198,0.4344,0.4486,0.2139,-2.5,-1.2787
2025_01_TEN_DEN,DEN,TEN,8.0,1,0.7434,0.728,0.7548,0.7867,7.3844,8.5,7.998
2025_01_DET_GB,GB,DET,14.0,1,0.5418,0.5086,0.5626,0.5217,-0.0942,1.5,0.7826
2025_01_HOU_LA,LA,HOU,5.0,1,0.6282,0.6418,0.615,0.5996,4.5252,3.5,3.9613
2025_01_BAL_BUF,BUF,BAL,1.0,1,0.4692,0.4728,0.4656,0.4573,-1.2919,-1.5,-1.4064
2025_01_MIN_CHI,CHI,MIN,-3.0,0,0.461,0.456,0.4672,0.4957,-1.7525,-1.5,-1.6136
